Date,orcl,ibm,avgo,gild,mmm,lmt,acn,blk,bmy,low,pypl,hd,bk,meta,tsla,tmus,abbv,crm,wmt,t
2024-08-02,132.98098754882812,187.48025512695312,143.34852600097656,76.05915832519531,124.56847381591797,545.7272338867188,321.8399658203125,841.04296875,48.23011016845703,240.4199981689453,61.97999954223633,353.2842102050781,63.119998931884766,487.6747741699219,207.6699981689453,188.1467742919922,189.2899932861328,243.58758544921875,68.26541137695312,19.124452590942383
2024-08-05,127.5731430053711,181.7206268310547,141.61422729492188,74.13713073730469,123.94184875488281,542.3560180664062,312.4681091308594,825.8727416992188,47.06317138671875,237.02000427246094,60.459999084472656,347.8969421386719,61.41999816894531,475.276611328125,198.8800048828125,186.26290893554688,184.36000061035156,238.63534545898438,67.39788818359375,18.6702823638916
2024-08-06,127.92236328125,185.1803741455078,143.4481964111328,73.50305938720703,124.22035217285156,538.5571899414062,317.3880920410156,836.0126953125,46.78627395629883,240.64999389648438,62.75,351.77337646484375,62.189998626708984,493.61907958984375,200.63999938964844,189.2432098388672,185.7100067138672,238.04627990722656,67.5474624633789,18.946733474731445
2024-08-07,125.61754608154297,185.1803741455078,135.82327270507812,73.31481170654297,122.17139434814453,545.4686279296875,316.73077392578125,834.8992919921875,45.98523712158203,231.58999633789062,62.7400016784668,340.3328552246094,61.70000076293945,488.45404052734375,191.75999450683594,189.9708251953125,187.50999450683594,239.6637420654297,66.7198257446289,19.00597381591797
2024-08-08,128.67068481445312,190.94000244140625,145.26223754882812,74.89009094238281,124.45906066894531,548.5614013671875,314.5994567871094,849.8011474609375,46.331363677978516,236.3300018310547,64.27999877929688,346.23699951171875,63.40999984741211,509.144287109375,198.83999633789062,192.98101806640625,190.39999389648438,248.72950744628906,67.46768951416016,19.154071807861328
2024-08-09,131.7637176513672,191.4499969482422,147.77395629882812,72.97796630859375,123.50421142578125,548.5216064453125,314.5496520996094,851.1730346679688,46.20280456542969,235.8300018310547,64.72000122070312,346.53521728515625,63.779998779296875,517.2765502929688,200.0,193.56910705566406,189.92999267578125,252.1341552734375,67.7568588256836,19.242931365966797
2024-08-12,132.28256225585938,189.47999572753906,148.13278198242188,72.31416320800781,122.69855499267578,553.822021484375,312.6872253417969,833.3385620117188,46.539039611816406,231.07000732421875,63.459999084472656,343.7222900390625,63.27000045776367,515.458251953125,197.49000549316406,194.31666564941406,190.17999267578125,250.91607666015625,68.50473022460938,19.183691024780273
2024-08-13,133.9587860107422,190.99000549316406,155.6480712890625,73.29499816894531,124.6778793334961,556.318115234375,318.03546142578125,849.5625610351562,48.51689910888672,236.19000244140625,65.11000061035156,347.9565734863281,63.54999923706055,528.0362548828125,207.8300018310547,194.6954345703125,191.22999572753906,254.200927734375,67.93634796142578,19.272550582885742
2024-08-14,135.29579162597656,192.32000732421875,157.1730499267578,73.4535140991211,125.49348449707031,560.0970458984375,318.5334167480469,852.4752807617188,47.87409591674805,237.63999938964844,66.13999938964844,353.5128173828125,64.11000061035156,526.2579956054688,201.3800048828125,195.85166931152344,193.0,254.9197998046875,68.46485137939453,19.381155014038086
2024-08-15,136.62278747558594,193.9499969482422,165.58538818359375,73.65166473388672,126.47817993164062,557.1832885742188,323.81195068359375,866.9297485351562,48.56634521484375,240.05999755859375,67.94000244140625,357.8962097167969,64.9800033569336,536.81787109375,214.13999938964844,193.99771118164062,193.39999389648438,262.3780822753906,72.97200012207031,18.84800148010254
2024-08-16,137.16159057617188,193.77999877929688,165.17672729492188,73.09684753417969,126.3687744140625,557.0242309570312,325.5947265625,867.357177734375,48.81357955932617,241.14999389648438,67.95999908447266,359.8741760253906,65.61000061035156,526.9172973632812,216.1199951171875,195.9214324951172,193.89999389648438,262.4978942871094,73.44999694824219,19.094833374023438
2024-08-19,137.61056518554688,194.72999572753906,167.16021728515625,73.7606430053711,126.39861297607422,555.2938842773438,328.1044921875,865.0906372070312,48.754241943359375,243.2100067138672,69.43000030517578,360.8780822753906,65.73999786376953,528.7755737304688,222.72000122070312,196.93812561035156,196.8699951171875,264.9640197753906,73.72000122070312,19.242931365966797
